date,month,day_of_week,shift,covers,avg_ticket_eur,sales_eur,food_cost_pct,food_cost_eur,staff_cost_eur,staff_pct,other_costs_eur,prime_cost_pct,net_profit_eur,revpash_eur,table_turnover,waste_pct,temperature_c,booking_channel,google_rating,staff_count,net_profit_rf_eur
2023-01-01,1,Sunday,Lunch,59,13.63,804.17,24.2,194.61,261.36,32.5,178.76,56.7,169.44,4.6,2.36,8.1,15.5,Google Maps,3.7,4,126.42
2023-01-01,1,Sunday,Dinner,30,25.17,755.1,35.9,271.08,221.24,29.3,129.84,65.2,132.94,3.36,1.2,8.4,17.5,Walk-in,4.7,2,88.31
2023-01-01,1,Sunday,Lunch,33,16.93,558.69,31.4,175.43,160.9,28.8,182.15,60.2,40.21,3.19,1.32,13.3,13.0,Google Maps,4.2,5,28.67
2023-01-01,1,Sunday,Dinner,41,13.4,549.4,36.6,201.08,179.65,32.7,159.53,69.3,9.14,2.44,1.64,10.6,13.6,Walk-in,4.3,3,13.15
2023-01-02,1,Monday,Lunch,28,11.63,325.64,33.9,110.39,101.27,31.1,159.67,65.0,-45.69,1.86,1.12,4.3,17.2,Walk-in,4.3,5,-34.8
2023-01-02,1,Monday,Lunch,21,9.0,189.0,31.2,58.97,41.2,21.8,254.52,53.0,-165.69,1.08,0.84,10.8,12.1,Phone,4.3,5,-141.5
2023-01-02,1,Monday,Lunch,17,13.07,222.19,34.0,75.54,73.1,32.9,232.82,66.9,-159.27,1.27,0.68,11.7,13.9,Google Maps,3.9,4,-142.63
2023-01-03,1,Tuesday,Lunch,30,11.54,346.2,29.4,101.78,88.97,25.7,113.79,55.1,41.66,1.98,1.2,12.9,13.5,Walk-in,3.2,2,-7.47
2023-01-04,1,Wednesday,Dinner,26,19.69,511.94,27.9,142.83,117.23,22.9,141.18,50.8,110.7,2.28,1.04,6.8,11.9,Walk-in,3.9,2,65.24
2023-01-05,1,Thursday,Lunch,35,19.01,665.35,34.2,227.55,144.38,21.7,173.64,55.9,119.78,3.8,1.4,6.6,14.6,Walk-in,3.7,3,81.95
2023-01-05,1,Thursday,Lunch,25,9.41,235.25,27.6,64.93,67.99,28.9,161.17,56.5,-58.84,1.34,1.0,5.2,16.5,Walk-in,4.2,4,-77.54
2023-01-05,1,Thursday,Dinner,27,23.64,638.28,33.6,214.46,158.93,24.9,204.28,58.5,60.61,2.84,1.08,8.9,15.3,Walk-in,4.2,5,73.14
2023-01-05,1,Thursday,Dinner,40,12.88,515.2,31.1,160.23,103.04,20.0,134.04,51.1,117.89,2.29,1.6,10.2,16.6,Phone,4.0,4,67.83
2023-01-05,1,Thursday,Lunch,25,10.71,267.75,22.0,58.9,75.51,28.2,233.13,50.2,-99.79,1.53,1.0,6.5,17.4,Google Maps,4.8,7,-79.62
2023-01-06,1,Friday,Lunch,26,13.94,362.44,28.7,104.02,99.67,27.5,188.02,56.2,-29.27,2.07,1.04,7.6,14.2,Phone,3.8,2,-12.69
2023-01-07,1,Saturday,Dinner,42,22.63,950.46,32.3,307.0,278.48,29.3,174.68,61.6,190.3,4.22,1.68,1.8,20.3,Google Maps,3.2,4,166.28
